,Cases fulfilling the reporting criteria of COVID-19,Enhanced laboratory surveillance in public hospitals,Enhanced surveillance at Accident and Emergency Departments / General Outpatient Clinics,Diagnosis / Enhanced surveillance in private hospitals and clinics,Medical surveillance / Contact tracing by the Centre for Health Protection,Enhanced surveillance for asymptomatic inbound travelers,Others,Enhanced surveillance at  Accident and Emergency Departments / General Outpatient Clinics,Medical surveillance / contact tracing by Centre for Health Protection,Enhanced surveillance for persons with higher risk of exposure,Private testing for the four high-risk groups*,Private testing for the four high-risk groups,Private testing for targeted high-risk groups,Universal Community Testing Programme,Private testing for targeted groups,Private testing for high-risk groups,Temporary testing centre,Private testing for the high-risk groups,Private testing for the targeted groups,Community testing centre,Medical surveillance / contact tracing by Centre for Health Protection ,Pending
20200429,344,49,127.0,89,187.0,242,,,,,,,,,,,,,,,,
20200430,335,48,123.0,84,209.0,239,,,,,,,,,,,,,,,,
20200501,334,48,123.0,84,210.0,239,,,,,,,,,,,,,,,,
20200502,333,48,122.0,85,211.0,241,,,,,,,,,,,,,,,,
20200505,333,48,122.0,85,211.0,242,,,,,,,,,,,,,,,,
20200508,333,48,122.0,85,211.0,246,,,,,,,,,,,,,,,,
20200510,333,48,121.0,85,212.0,246,,,,,,,,,,,,,,,,
20200511,333,48,121.0,85,212.0,249,,,,,,,,,,,,,,,,
20200514,334,48,122.0,85,213.0,249,,,,,,,,,,,,,,,,
20200515,334,48,122.0,85,214.0,249,,,,,,,,,,,,,,,,
20200516,335,48,122.0,85,214.0,249,,,,,,,,,,,,,,,,
20200518,335,48,122.0,85,214.0,252,,,,,,,,,,,,,,,,
20200522,335,48,122.0,85,215.0,259,,,,,,,,,,,,,,,,
20200523,336,48,122.0,85,215.0,260,,,,,,,,,,,,,,,,
20200526,336,48,122.0,85,215.0,260,,,,,,,,,,,,,,,,
20200528,336,48,122.0,85,215.0,261,,,,,,,,,,,,,,,,
20200530,336,48,122.0,85,215.0,274,,,,,,,,,,,,,,,,
20200531,336,48,122.0,85,215.0,277,,,,,,,,,,,,,,,,
20200601,336,49,122.0,85,216.0,277,,,,,,,,,,,,,,,,
20200602,336,49,122.0,85,219.0,277,,,,,,,,,,,,,,,,
20200603,336,49,122.0,85,225.0,277,,,,,,,,,,,,,,,,
20200605,336,49,122.0,85,226.0,282,,,,,,,,,,,,,,,,
20200606,336,49,122.0,85,226.0,285,,,,,,,,,,,,,,,,
20200607,338,49,122.0,85,226.0,286,,,,,,,,,,,,,,,,
20200608,336,49,122.0,85,228.0,287,,,,,,,,,,,,,,,,
20200609,336,49,122.0,85,229.0,287,,,,,,,,,,,,,,,,
20200613,336,49,122.0,85,230.0,287,,,,,,,,,,,,,,,,
20200614,336,49,122.0,85,231.0,287,,,,,,,,,,,,,,,,
20200616,336,49,122.0,85,231.0,290,,,,,,,,,,,,,,,,
20200618,336,49,122.0,85,231.0,298,,,,,,,,,,,,,,,,
20200619,336,49,122.0,85,231.0,302,,,,,,,,,,,,,,,,
20200620,336,49,122.0,85,231.0,305,,,,,,,,,,,,,,,,
20200621,336,49,122.0,85,231.0,306,,,,,,,,,,,,,,,,
20200622,336,49,122.0,85,231.0,309,,,,,,,,,,,,,,,,
20200623,336,49,122.0,85,231.0,339,,,,,,,,,,,,,,,,
20200624,336,49,122.0,85,231.0,355,,,,,,,,,,,,,,,,
20200625,336,50,122.0,85,234.0,353,,,,,,,,,,,,,,,,
20200626,336,50,122.0,85,234.0,367,,,,,,,,,,,,,,,,
20200627,336,50,122.0,85,236.0,368,,,,,,,,,,,,,,,,
20200628,336,50,122.0,85,236.0,369,,,,,,,,,,,,,,,,
20200629,336,50,122.0,85,236.0,371,,,,,,,,,,,,,,,,
20200630,336,50,122.0,85,237.0,374,,,,,,,,,,,,,,,,
20200701,336,50,122.0,85,239.0,374,,,,,,,,,,,,,,,,
20200702,336,50,122.0,85,240.0,401,,,,,,,,,,,,,,,,
20200703,336,50,122.0,85,240.0,410,,,,,,,,,,,,,,,,
20200704,336,50,122.0,85,241.0,414,,,,,,,,,,,,,,,,
20200705,336,50,122.0,86,241.0,424,,,,,,,,,,,,,,,,
20200706,336,51,122.0,87,244.0,429,,,,,,,,,,,,,,,,
20200707,336,52,122.0,87,249.0,440,,,,,,,,,,,,,,,,
20200708,336,54,122.0,95,250.0,443,,,,,,,,,,,,,,,,
20200709,336,61,123.0,98,260.0,446,,,,,,,,,,,,,,,,
20200710,336,67,126.0,98,286.0,453,,,,,,,,,,,,,,,,
20200711,336,71,133.0,101,306.0,457,,,,,,,,,,,,,,,,
20200712,336,76,134.0,102,315.0,469,,,,,,,,,,,,,,,,
20200713,336,89,142.0,103,324.0,476,,,,,,,,,,,,,,,,
20200714,336,106,150.0,107,341.0,481,1.0,,,,,,,,,,,,,,,
20200715,336,119,162.0,110,357.0,485,1.0,,,,,,,,,,,,,,,
20200716,336,124,166.0,111,361.0,490,1.0,,,,,,,,,,,,,,,
20200717,336,135,186.0,121,383.0,494,1.0,,,,,,,,,,,,,,,
20200718,336,146,206.0,124,402.0,499,1.0,,,,,,,,,,,,,,,
20200719,336,149,234.0,140,415.0,501,3.0,,,,,,,,,,,,,,,
20200720,336,167,258.0,167,432.0,523,3.0,,,,,,,,,,,,,,,
